Fecha,Hora,Lux Natural,Lux Total,Hum Suelo %,Temp Amb C,Hum Amb %,Luz Estado,Riego Estado
2026-02-23,19:27:14,7,7,100,24.1,64.5,OFF (Noche),OFF
2026-02-23,19:28:19,7,7,100,24.8,67.5,OFF (Noche),OFF
2026-02-23,19:28:32,7,7,98,24.9,67.9,OFF (Noche),OFF
2026-02-23,19:28:45,7,7,100,25.0,68.4,OFF (Noche),OFF
2026-02-23,19:34:06,7,12885,100,25.0,60.0,ON,OFF
2026-02-23,19:34:27,7,12746,100,25.4,59.4,ON,OFF
2026-02-23,20:34:30,0,10651,100,25.5,58.8,ON,OFF
2026-02-23,21:34:33,0,10733,100,30.7,55.9,ON,OFF
2026-02-23,22:34:36,6,11349,100,31.0,59.3,ON,OFF
2026-02-23,23:34:40,6,11030,100,31.3,59.6,ON,OFF
2026-02-24,00:34:43,6,10992,100,31.4,61.7,ON,OFF
2026-02-24,01:34:46,0,10572,100,31.6,63.0,ON,OFF
2026-02-24,02:34:49,0,10667,100,31.4,61.1,ON,OFF
2026-02-24,03:34:52,0,10862,100,31.2,60.3,ON,OFF
2026-02-24,04:34:55,0,10355,100,31.1,63.7,ON,OFF
2026-02-24,05:34:58,0,10322,100,31.1,60.5,ON,OFF
2026-02-24,06:35:02,0,0,100,30.9,56.8,OFF (Noche/Descanso),OFF
2026-02-24,07:35:05,10,10,100,30.9,56.8,OFF (Noche/Descanso),OFF
2026-02-24,08:35:08,32,32,100,26.6,71.0,OFF (Noche/Descanso),OFF
2026-02-24,09:35:11,25,25,100,26.8,62.2,OFF (Noche/Descanso),OFF
2026-02-24,10:35:14,38,37,100,27.1,69.4,OFF (Noche/Descanso),OFF
2026-02-24,11:35:17,36,36,100,27.5,65.2,OFF (Noche/Descanso),OFF
2026-02-24,12:35:21,30,30,100,27.5,58.1,OFF (Noche/Descanso),OFF
2026-02-24,13:35:24,15,15,100,27.7,66.7,OFF (Noche/Descanso),OFF
2026-02-24,14:35:27,10,10,100,26.9,54.7,OFF (Noche/Descanso),OFF
2026-02-24,15:35:30,10,10,100,24.9,48.7,OFF (Noche/Descanso),OFF
