Fecha,Hora,Lux Natural,Lux Total,Hum Suelo %,Temp Amb C,Hum Amb %,Luz Estado,Riego Estado
2026-01-27,15:03:06,27,10384,95,27.4,64.6,ON,OFF
2026-01-27,16:03:10,8,8807,92,27.9,60.5,ON,OFF
2026-01-27,17:03:13,5,9022,92,28.0,60.2,ON,OFF
2026-01-27,18:03:16,7,9252,92,28.2,56.1,ON,OFF
2026-01-27,19:03:19,2,9185,93,28.4,55.1,ON,OFF
2026-01-27,20:03:23,4,4,93,28.5,55.2,OFF (Noche),OFF
2026-01-27,21:03:26,3,3,93,26.6,52.8,OFF (Noche),OFF
2026-01-27,22:03:29,3,3,93,23.7,47.3,OFF (Noche),OFF
2026-01-27,23:03:32,3,3,93,26.6,64.4,OFF (Noche),OFF
2026-01-28,00:03:36,3,3,93,27.3,62.3,OFF (Noche),OFF
2026-01-28,01:03:39,0,0,93,27.5,60.2,OFF (Noche),OFF
2026-01-28,02:03:42,0,0,94,27.3,59.8,OFF (Noche),OFF
2026-01-28,03:03:45,0,0,94,0,0,OFF (Noche),OFF
2026-01-28,04:03:49,0,0,94,27.1,60.2,OFF (Noche),OFF
2026-01-28,05:03:52,0,0,94,27.0,59.4,OFF (Noche),OFF
2026-01-28,06:03:55,0,0,94,27.0,59.5,OFF (Noche),OFF
2026-01-28,07:03:58,0,0,94,26.9,57.9,OFF (Noche),OFF
2026-01-28,08:04:01,16,11174,94,26.9,57.7,ON,OFF
2026-01-28,09:04:05,24,8902,94,27.2,56.2,ON,OFF
2026-01-28,10:04:08,14,8757,94,28.0,55.0,ON,OFF
2026-01-28,11:04:11,17,8839,95,28.3,53.1,ON,OFF
2026-01-28,12:04:14,15,9025,95,0,0,ON,OFF
2026-01-28,13:04:18,8,9149,95,29.1,50.8,ON,OFF
2026-01-28,14:04:21,10,8922,95,29.2,51.5,ON,OFF
2026-01-28,15:04:24,10,9255,95,29.2,47.0,ON,OFF
2026-01-28,15:58:03,5,10947,95,23.7,39.2,ON,OFF
2026-01-28,16:58:06,6,8563,95,25.2,41.1,ON,OFF
2026-01-28,17:46:14,9,9,94,27.8,52.2,OFF (Noche),OFF
2026-01-28,19:54:18,2,2,94,28.0,62.3,OFF (Noche),OFF
2026-01-28,20:54:21,1,1,94,28.3,49.3,OFF (Noche),OFF
2026-01-28,21:54:24,0,0,95,28.1,54.0,OFF (Noche),OFF
2026-01-28,22:54:28,0,0,95,28.1,54.6,OFF (Noche),OFF
2026-01-28,23:54:31,0,0,95,28.1,54.1,OFF (Noche),OFF
2026-01-29,00:54:34,0,0,95,28.2,55.0,OFF (Noche),OFF
2026-01-29,01:54:37,0,0,95,28.1,56.9,OFF (Noche),OFF
2026-01-29,02:54:41,0,0,95,28.0,57.6,OFF (Noche),OFF
2026-01-29,03:54:44,0,0,95,28.0,57.7,OFF (Noche),OFF
2026-01-29,04:54:47,0,0,95,27.9,57.2,OFF (Noche),OFF
2026-01-29,05:54:50,0,0,95,27.9,56.6,OFF (Noche),OFF
2026-01-29,06:54:53,0,0,95,27.8,56.8,OFF (Noche),OFF
2026-01-29,07:54:56,8,8,95,0,0,OFF (Noche),OFF
2026-01-29,08:55:00,12,7742,96,27.9,55.9,ON,OFF
2026-01-29,09:55:03,12,6255,96,28.4,54.9,ON,OFF
2026-01-29,10:55:06,10,6358,96,29.1,52.8,ON,OFF
2026-01-29,11:55:09,6,6583,96,29.4,50.9,ON,OFF
2026-01-29,12:55:12,3,6293,96,29.7,49.8,ON,OFF
2026-01-29,13:55:16,2,6247,96,29.8,49.2,ON,OFF
2026-01-29,14:55:19,2,6579,96,29.9,50.7,ON,OFF
2026-01-29,15:55:22,2,6540,96,30.1,49.9,ON,OFF
2026-01-29,16:55:25,2,6258,96,0,0,ON,OFF
2026-01-29,17:55:29,2,2,96,0,0,OFF (Noche),OFF
2026-01-29,18:55:32,3,3,96,30.4,45.5,OFF (Noche),OFF
2026-01-29,19:55:35,0,0,96,30.2,46.7,OFF (Noche),OFF
2026-01-29,20:55:38,0,0,96,30.0,47.2,OFF (Noche),OFF
2026-01-29,21:55:41,4,4,96,29.8,48.2,OFF (Noche),OFF
2026-01-29,22:55:45,4,4,96,29.6,48.8,OFF (Noche),OFF
2026-01-29,23:55:48,0,0,96,27.2,42.0,OFF (Noche),OFF
2026-01-30,00:55:51,0,0,96,27.4,39.5,OFF (Noche),OFF
2026-01-30,01:55:54,0,0,96,28.3,42.7,OFF (Noche),OFF
2026-01-30,02:55:57,0,0,96,28.6,41.7,OFF (Noche),OFF
2026-01-30,03:56:01,0,0,96,28.7,43.7,OFF (Noche),OFF
2026-01-30,04:56:04,0,0,96,28.7,45.2,OFF (Noche),OFF
2026-01-30,05:56:07,0,0,96,28.8,46.1,OFF (Noche),OFF
2026-01-30,06:56:10,0,0,96,28.7,45.0,OFF (Noche),OFF
2026-01-30,07:56:13,4,4,96,28.6,43.6,OFF (Noche),OFF
2026-01-30,08:56:17,22,10563,96,28.5,39.4,ON,OFF
2026-01-30,09:56:20,30,8481,96,28.9,39.0,ON,OFF
2026-01-30,10:56:23,28,8482,96,29.6,39.3,ON,OFF
2026-01-30,11:56:26,17,8911,96,30.0,37.2,ON,OFF
2026-01-30,12:56:29,10,8901,96,30.2,37.2,ON,OFF
2026-01-30,13:56:33,3,9332,96,30.3,36.8,ON,OFF
2026-01-30,14:56:36,3,8725,96,27.7,38.2,ON,OFF
2026-01-30,15:56:39,3,9010,96,26.0,35.0,ON,OFF
2026-01-30,16:56:42,3,9113,96,25.4,35.8,ON,OFF
2026-01-30,17:56:46,3,3,96,24.1,33.0,OFF (Noche),OFF
2026-01-30,18:56:49,2,2,95,23.5,33.5,OFF (Noche),OFF
2026-01-30,19:56:52,0,0,95,23.4,34.9,OFF (Noche),OFF
2026-01-30,20:56:55,0,0,95,26.5,38.5,OFF (Noche),OFF
2026-01-30,21:56:58,5,5,96,0,0,OFF (Noche),OFF
2026-01-30,22:57:02,3,3,95,24.7,44.0,OFF (Noche),OFF
2026-01-30,23:57:05,0,0,95,0,0,OFF (Noche),OFF
2026-01-31,00:57:08,0,0,95,23.9,37.6,OFF (Noche),OFF
2026-01-31,01:57:11,0,0,95,25.6,44.8,OFF (Noche),OFF
2026-01-31,02:57:14,0,0,95,0,0,OFF (Noche),OFF
2026-01-31,03:57:18,0,0,95,27.5,45.7,OFF (Noche),OFF
2026-01-31,04:57:21,0,0,96,27.6,46.3,OFF (Noche),OFF
2026-01-31,05:57:24,0,0,96,27.6,46.5,OFF (Noche),OFF
2026-01-31,06:57:27,0,0,96,27.6,45.5,OFF (Noche),OFF
2026-01-31,07:57:30,0,0,96,27.6,46.5,OFF (Noche),OFF
2026-01-31,08:57:34,12,11535,96,27.5,49.6,ON,OFF
2026-01-31,09:57:37,17,9513,96,28.0,48.8,ON,OFF
2026-01-31,10:57:40,3,9724,96,28.7,45.0,ON,OFF
2026-01-31,11:57:43,13,9406,96,28.3,42.3,ON,OFF
